,Countries,2000,2003,2006,2009,2012,2015,2018
0,Australia,,524.266004324964,519.907748551867,514.340462493315,504.150766269474,493.896231275835,491.360025247324
1,Austria,,505.610983619778,505.483598477487,495.908655251925,505.540743040188,496.742273947571,498.942313770185
2,Belgium,,529.286414629863,520.348972896002,515.272276921134,514.52924489034,506.984362377966,508.070306302623
3,Canada,,532.486736197024,527.00717882472,526.80515277157,518.070399654099,515.647427968622,512.016942926845
4,Chile,,,411.350338565367,421.060473175213,422.632355512398,422.671357892647,417.406556308579
5,Colombia,,,369.978513519926,380.848214879185,376.48860104617,389.643827849568,390.932273204875
6,Czech Republic,,516.455000745028,509.859358944553,492.814094080371,498.957882463199,492.325438023637,499.467650822959
7,Denmark,,514.287675108569,513.025950193346,503.278147362278,500.026756674282,511.087631834791,509.398374584275
8,Estonia,,,514.575461702332,512.104197393106,520.545521584124,519.52913230814,523.414580186709
9,Finland,,544.289187006198,548.358395122749,540.504348172301,518.750335277442,511.076852960152,507.301361844418
10,France,,510.799473485927,495.538332864436,496.782310316207,494.984674325778,492.92040179419,495.407579391347
11,Germany,,502.985532699418,503.790858306251,512.777642537515,513.52505569194,505.971282413447,500.043780511653
12,Greece,,444.911862704937,459.201986715969,466.096372661163,452.973426995912,453.629850695741,451.370343807911
13,Hungary,,490.012392234689,490.937383003134,490.170027503728,477.044454869619,476.830880844202,481.082636358975
14,Iceland,,515.108650286554,505.544828285265,506.669163687622,492.795697508307,488.033184375679,495.18737622182
15,Ireland,,502.837319707831,501.471771117311,487.136375135939,501.497460190702,503.721997416289,499.632893967787
16,Israel,,,441.858727752461,446.863763939656,466.48143036732,469.66945406512,463.034548798405
17,Italy,,465.66421007198,461.688720801908,482.908480395348,485.321181214056,489.728730841121,486.589857259292
18,Japan,,534.136501636472,523.10251518708,528.993092875153,536.406918585376,532.439872216395,526.97325016916
19,Korea,,542.227369643416,547.458478815152,546.228534209753,553.766658749828,524.106216349152,525.933002039616
20,Latvia,,483.374948830849,486.166083464506,481.953822121265,490.571021834409,482.305071700274,496.126330622544
21,Lithuania,,,486.421334787376,476.602303064381,478.823277473646,478.383381816247,481.191188395501
22,Luxembourg,,493.208556588694,490.001840360493,489.067263289906,489.845097687263,485.770628161505,483.421485007866
23,Mexico,,385.218339344223,405.654639766968,418.509094568344,413.281466598847,408.023477641997,408.801473375315
24,Netherlands,,537.82327629883,530.654046403508,525.83568837596,522.971758176618,512.252789849464,519.230982393017
25,New Zealand,,523.486584874737,521.988848532371,519.300872255267,499.749902881932,495.22325640525,494.48967597553
26,Norway,,495.185390278491,489.846353153488,497.955692982933,489.373070368064,501.729814944197,500.963788462762
27,Poland,,490.238776169126,495.428496857271,494.802918331843,517.501096738681,504.469251373938,515.647874653798
28,Portugal,,466.016694548823,466.160985698929,486.888305911757,487.063181119208,491.626967860438,492.487406151968
29,Slovak Republic,,498.183456013749,492.106237906583,496.683420001406,481.644743898642,475.230105289991,486.164854221208
30,Slovenia,,,504.455963817407,501.472389333819,501.127422505933,509.919632114553,508.8975440691
31,Spain,,485.108056486922,479.957506997495,483.493140177442,484.319297830375,485.843217330057,481.392612584418
