"","Australia","Austria","Belgium","Canada","Chile","Colombia","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Israel","Italy","Japan","Korea","Latvia","Lithuania","Luxembourg","Mexico","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","Turkey","United Kingdom","United States","Albania","Albania (2015)","Algeria","Argentina","Argentina (2015)","Baku (Azerbaijan)","Belarus","Bosnia and Herzegovina","Brazil","Brunei Darussalam","B-S-J-G (China)","B-S-J-Z (China)","Bulgaria","Chinese Taipei","Costa Rica","Croatia","Cyprus","Dominican Republic","Georgia","Hong Kong (China)","Indonesia","Jordan","Kazakhstan","Kazakhstan (2015)","Kosovo","Lebanon","Macao (China)","Malaysia","Malaysia (2015)","Malta","Moldova","Montenegro","Morocco","North Macedonia","Panama","Peru","Philippines","Qatar","Romania","Russia","Saudi Arabia","Serbia","Singapore","Thailand","Trinidad and Tobago","Tunisia","Ukraine","United Arab Emirates","Uruguay","Viet Nam"
"Australia",0,78.5809849417051,33.7071627047927,36.4256790880489,199.462573872052,284.538294253151,75.6497088428044,55.4799811402788,38.5304689917259,57.0752640902802,50.6802349413764,61.8734795473594,119.09071472739,89.2240900397419,68.9100054085901,34.3636180742186,136.79970712102,91.937341055672,43.4926163413467,58.8080796446883,97.7431530234989,112.566437596785,121.420708983252,257.883105122332,33.3744920063895,12.9460711383213,48.1747863408066,60.1359276313338,93.2104279021127,133.253900227445,69.23268588147,90.2981028054516,37.8275596169246,52.0227994216025,166.876256061758,35.9257438972744,46.1031957140504,351.820093155557,289.046891506812,435.273935431683,310.122237727895,236.245544459572,330.905580231759,109.452005479931,295.060648731672,292.981070684939,281.636367279633,58.6835451574125,111.480110292808,238.788217651774,44.51020412432,219.822237514306,92.8245541230435,201.328249611222,435.887015348078,328.263354267041,56.9224362219979,338.569664430213,287.087589866403,329.178614031078,231.409389046153,434.671548954577,435.057270563412,56.3097295163364,286.059001413752,222.368084565597,178.068893914242,249.977527828603,268.583536784737,410.105495224805,377.105813992825,363.676789113275,374.928688888026,462.135315867377,375.531114236,240.890783292524,147.516804523639,305.150297177478,199.010530372466,71.9374850942039,253.902409104551,245.684767039082,344.844422556481,129.751986811024,208.839415703834,239.350470844744,50.6648882737967
"Austria",78.5809849417051,0,49.9867460163177,107.622639728921,126.314852382655,210.833627820377,13.1772438907848,34.5997171120229,72.7042997447853,132.078990694056,36.9731406446334,43.8746368761788,54.3854069790056,34.1099629638825,36.4047880039817,82.1242828496653,71.2798269850572,32.1091194453323,84.710073366099,126.956412786294,38.7065777198061,38.4313327607606,55.2454801346918,183.87572336016,56.3994158886193,85.8712537228551,51.1019145627566,58.5079019891048,39.6124144165123,65.6855812260332,28.0333883715005,34.6496303494026,53.9153048452415,38.7749350057171,97.9115222575829,49.9429635311576,42.288250605999,276.57411178732,214.451545386468,360.702103261952,236.936921949461,161.680014331228,256.310600061579,37.2337489921,220.464591590486,218.78576320851,207.042400423271,27.9308921563009,184.072620854562,165.756611521281,50.280763436579,145.486042116733,21.9469106408232,127.349472605797,361.34046056843,253.760668839666,117.857567273635,264.754537204649,212.39567636494,254.647417753469,156.850111333572,360.10582060774,360.493244314503,55.1790181446952,211.489182356407,147.823159984843,103.691438676455,175.430484248314,193.681676456066,335.527165458903,302.819369408737,289.087435467599,299.004388184782,387.570456666905,302.099929891612,167.387838070147,79.1277313797718,230.553734231928,124.525678869211,138.925070402016,181.693034189544,170.435098343362,272.163682684503,56.1956675120183,134.433818925043,165.825334574528,37.3015953921189
"Belgium",33.7071627047927,49.9867460163177,0,62.7457143143784,167.742955765687,254.253283950656,45.4394194082474,26.6259676802399,38.309746484291,87.4278753969454,20.3368871856901,32.1214493609503,88.2317776211933,58.1583286993567,43.1498663729718,46.6275298959323,104.624129604344,60.2660632907554,42.4321617213408,82.0916412217004,65.8131749078331,81.5627034769829,89.178090788805,227.113355647633,13.2775073641567,40.048452549227,24.8906091404105,38.3537650226548,61.3387134708077,103.44604725754,42.6878245573574,60.5788762368422,32.5557133323445,19.4129661150691,136.45143294281,25.4477140424464,21.5720789825556,320.849055006301,258.973273844783,405.406675455136,280.852650708288,206.040534185609,300.908467697752,78.5592403978735,264.999256259007,262.431701808494,251.547025602461,27.8235083547631,138.939720856644,208.291365477309,21.879933853436,189.351104710596,61.3315901358907,170.538224860646,405.923818723414,298.101381306993,73.4406820199613,307.656506277129,257.222931821665,299.111519775134,201.189669434598,404.844868731378,405.237167578375,41.1502096005947,256.254248145801,192.119353453844,147.671732095035,219.915354913143,238.053187187373,380.212668194629,347.594847389007,333.728022443294,343.596541018751,432.292400842674,345.38826727991,210.310628616242,116.149285563422,275.108414109581,168.67633247364,96.918579735556,224.025200146168,215.44468388496,314.669693156143,99.0285820053534,178.364134886989,209.697264803722,20.6270110842502
"Canada",36.4256790880489,107.622639728921,62.7457143143784,0,227.24727339872,314.873775370958,104.017038746146,79.9729588024711,45.7390347361561,30.3333608008786,77.8471588903936,81.5174858520519,150.331837142081,119.922736850341,101.273123596011,34.1098325968069,164.203936382555,120.799108282676,49.9869780988982,38.4573224633936,124.502356179724,142.023379617968,147.637799019149,288.020197554254,60.9635208640757,27.3195144619473,69.8464388938604,74.1491849078532,117.164395350467,164.961708767879,93.150971288512,117.509737367531,64.0778798600199,80.3172696986536,197.376481053631,64.2570164600619,71.0647316565768,381.857188027841,320.152066089252,466.666355994181,341.666080503322,267.156988756017,362.119473516562,139.084791823843,326.183385607889,323.643018151986,312.718843209945,86.0344732681462,77.6179511145681,269.724458819272,67.7149552276172,250.987953923054,121.155803383011,232.164898551724,467.161510815443,359.251332116556,32.5024746167104,369.20607958392,317.821296703386,360.449349147371,262.298536169825,466.101897882769,466.493500554804,71.0818833168224,316.940664023552,253.212863674718,208.651628934941,281.027306555435,298.848002802186,441.463323429938,408.64742269402,394.957992275691,403.877877329154,493.560434021117,405.243372263583,271.383695277592,171.666449529607,336.300908585505,229.721374271006,39.3195968642867,286.083862292128,276.310261979662,376.623020551455,159.766762567751,239.837959397271,269.967815212898,78.6833168961412
"Chile",199.462573872052,126.314852382655,167.742955765687,227.24727339872,0,99.4734174644602,127.548163803981,148.452882287005,189.109539799308,251.967204775702,153.57857385699,148.69521547549,88.5248782477306,114.272994514611,137.879314597128,204.388836287561,75.8214597291849,113.288451385392,198.005712868303,242.829755480688,105.233486484955,90.1315514061726,85.3751525129664,78.1916049258418,172.102089982552,205.665631447723,162.095639736677,162.401817880418,112.733817333006,75.0548877872916,136.896890018542,119.148140313964,171.785247889302,151.741592497292,66.6637442308083,171.935775777681,158.547224684879,157.806092678664,105.094243944704,247.361230688707,133.122727670827,59.0590454048999,144.975567559253,92.0192196519282,110.73023327367,104.709786069785,98.2132863563458,142.197075582678,301.515834962859,67.5320558854118,167.675303401012,51.5609657602218,108.912059946347,45.5118881212782,247.882497333283,142.428996763648,233.002562872647,149.330897188156,102.132627367557,143.642793992275,55.4670576479715,246.854925817185,247.252030724367,167.734970542619,101.626620538082,49.337337048115,41.1151250403036,70.6018812870915,86.2011159463159,222.493791353492,191.850856990234,176.860389882249,177.864647006448,273.965524274345,191.182075607868,68.1317379046303,77.1890025728499,120.271265126358,39.240137395764,257.49559123114,91.3242498807517,65.9098561566843,162.945164281255,73.7041290752559,44.721053066483,61.1562175586176,153.236718037292
"Colombia",284.538294253151,210.833627820377,254.253283950656,314.873775370958,99.4734174644602,0,212.632599677225,236.162548538387,276.836040072263,339.487828552345,238.516302893179,239.235870266491,167.758672418304,199.884496523956,218.064789316783,290.989384493861,158.322050872227,195.743199233076,283.049285228349,333.321011218633,197.197219383747,174.497378414011,179.499193304759,39.0072432959912,259.290922344255,292.015318933403,247.695191382135,255.2804245908,202.280109908258,155.022340109555,224.360104786613,199.820156554282,256.680516752428,239.291649772731,132.953253891449,254.472920529886,245.596431295093,82.2136441801642,30.2132754079818,156.146948163581,38.6194239538908,54.8358408410643,56.9619649502084,177.006348761565,32.1091918469216,23.2814824985046,29.4519963162112,229.753935520073,391.140625263972,50.0364491933214,254.564578246866,71.9831211410884,194.649639337999,89.1905220981723,156.373974737971,54.054408260529,322.708328303237,69.1906117395552,25.5254911841978,56.1220884969601,58.9958089772393,155.829918346556,156.254741915628,254.751215536374,29.4817539652497,67.0299564732116,109.008479740585,45.307620199639,24.1092405450069,131.474803725594,105.132523682086,86.7629137616536,103.840820108361,182.635906470604,99.4293425916099,49.060243817063,153.607331157093,37.3198626092403,88.7586282152751,346.816228657864,61.4865742084097,46.683665823965,81.1571430841046,156.595101065124,80.7236894015821,47.888921992564,240.52640405273
"Czech Republic",75.6497088428044,13.1772438907848,45.4394194082474,104.017038746146,127.548163803981,212.632599677225,0,27.3514338494545,66.7447512960327,129.879736663689,29.4975472262145,36.6300623180172,53.4981705987158,31.1703331175302,33.7844096361216,79.2370903709014,67.079618345344,25.6173227564341,77.7809113803326,124.899629562768,36.3459048265297,39.0230127813781,55.9711229694483,185.787180739465,53.622117477287,82.8485317486815,42.6972148090531,52.7890436012325,30.9709038304845,67.3600282461174,25.5909060879063,26.3994558850588,52.4481337224353,34.8829324081661,97.686778750868,45.9318243531534,36.2901091449828,279.018312494069,217.543000408151,363.964733510178,239.236728593931,164.631933431187,259.471282101608,38.0680184891967,223.567634803807,220.88107820916,210.118634549417,21.6494401185457,180.091584576449,167.314707287599,44.3847447314815,148.433350495094,20.2413983469433,130.432162957656,364.677939369133,257.056017550136,113.33370442126,267.703121279166,215.066474926575,257.829474368893,159.784455147518,363.339633676765,363.723175777269,48.1327696682404,214.466212875546,150.721495704286,106.294226172361,178.350222948704,195.604067820209,338.77107574646,305.79083162568,292.288154388019,301.478872514135,390.850359091879,302.813548982831,168.543492569216,75.7185254092781,233.674841400726,127.306185852916,134.973443324853,185.046432849734,173.594284210985,274.531660754161,58.0201743367049,137.328325059694,168.273599930337,31.5394580414894
"Denmark",55.4799811402788,34.5997171120229,26.6259676802399,79.9729588024711,148.452882287005,236.162548538387,27.3514338494545,0,44.1969947876012,106.500414950081,16.8421152916855,20.0118454833455,75.0651613863702,46.3762847672695,38.5771174279446,58.3560509586581,87.7142895896046,44.7565824509901,57.7607552751436,101.619521510733,50.5679902713673,63.2381954622142,73.3706697118692,209.101147788242,36.4508591609176,60.1754269426781,23.2676973507852,34.2566529448634,40.1807667008937,88.8917198890798,21.1501917825092,43.5133460672684,34.8824724443261,25.0429710400896,120.364356944163,30.7275415716486,12.1114703084587,302.44983510582,241.582871522614,388.111854065691,263.637343828693,188.583501106259,283.554686947439,60.6225330134256,247.614806996017,244.517987436924,234.148907780326,10.1692548972828,155.520103078982,191.611733834712,29.79805372009,172.760606438824,42.9932754700686,154.569363474206,388.77587332875,281.024116952522,88.944996467319,290.97368824858,238.8661426278,281.975275810995,183.724853761516,387.499155609612,387.884443556609,30.9903011198539,238.187890018463,174.638981549836,130.051758701032,202.359281839227,219.954007739834,362.906535131954,329.928204115173,316.396641176382,324.491780569841,415.008222503726,326.703099165537,192.933828316229,94.7115758458742,257.733383874921,151.148436145245,111.269147471647,209.831653045683,197.692838363892,298.430688118123,81.2409431030216,161.508322689096,191.750621594596,19.2944866440331
"Estonia",38.5304689917259,72.7042997447853,38.309746484291,45.7390347361561,189.109539799308,276.836040072263,66.7447512960327,44.1969947876012,0,75.1070757558688,44.0240259367849,45.2537687259582,116.641046251955,88.1497040146705,75.2638204690247,24.561473935687,124.633779850894,85.1923316925269,38.9047525458048,75.0606621613737,88.4574134171533,104.884972068176,111.38112486802,250.818181074871,43.5662073388235,39.9137910220223,34.8737791228108,40.9613447933208,78.206853303389,131.834352127224,57.9293847627781,79.4742004918077,42.6923284272391,52.7967423901308,160.906110703168,36.5250695132478,38.7195057552681,343.157151801378,283.274797410757,429.583309345331,304.325248006571,230.421156808781,325.163761711186,103.333595464187,289.293399727792,285.761029611619,275.85803696447,52.2538233650208,116.210141620917,232.185611165938,34.2162989191938,214.567069036654,84.4542051635462,196.383118999359,430.276046481769,322.664041497441,57.7004307447161,333.028445272279,280.109085265289,323.609658038375,225.579117321637,428.952297954912,429.334093718222,27.005432079222,279.818334780332,216.52618640048,172.1361496013,244.104292896902,259.98076259101,404.404804836253,371.197127842355,357.954054369667,364.507423260937,456.454267541675,364.677862927941,232.723117864755,130.826513691052,299.390774187912,193.134193276336,70.8110505152023,251.327777810936,239.198424481929,340.234130571703,123.712290910054,203.402960120238,232.751460786532,47.0053062613222
"Finland",57.0752640902802,132.078990694056,87.4278753969454,30.3333608008786,251.967204775702,339.487828552345,129.879736663689,106.500414950081,75.1070757558688,0,104.551151803993,108.833668121647,174.390098508804,143.390876316145,123.552274869412,60.8599854875934,191.064383375077,146.720415145009,76.5708525340268,30.1702036794725,149.342261846454,167.075726418424,172.140573698186,312.492664038433,83.6857919833255,48.2183640304526,97.9477130408899,100.272649238488,144.247458920513,187.69610554058,118.603262469114,144.562972892647,85.7427174856012,104.400210867316,221.696612867005,89.215571483429,96.910267914687,406.02528889553,343.692815596186,489.934493852847,365.670983534214,290.862682448738,385.561269681372,163.613828596061,349.708476807344,347.868141346476,336.279649854788,111.421264324713,60.8337781239863,294.43728287835,94.5085248488279,274.703272242644,146.696176546231,255.943349739958,490.431709192355,382.698438975319,46.4539406196856,392.559719964845,341.732602629738,383.876607429261,286.022345683331,489.366528346536,489.756857542547,99.7051624965206,340.492137106186,276.972218372771,232.620940495166,304.670643351963,323.902148143437,464.766262633695,431.913939665159,418.336014530007,428.477889943954,516.795140238431,431.245113681351,296.656854529136,199.648200727015,359.800892785917,253.584146774465,39.268723021295,309.035796877163,300.193154742082,399.91464074085,184.088323567231,263.622891230719,293.904162818517,103.700731209618
