,Countries,2000,2003,2006,2009,2012,2015,2018
0,Australia,,,526.879589046866,527.270533936847,521.494747179522,509.993854209251,502.964562811366
1,Austria,,,510.837154518225,494.327673154439,505.781247861711,495.037486379706,489.780439226835
2,Belgium,,,510.363484146053,506.575526139358,504.867654138898,501.999713681166,498.773127028532
3,Canada,,,534.469777403568,528.704952999302,525.441293246964,527.704684182833,517.99766085055
4,Chile,,,438.177445076439,447.467360176419,444.933920734436,446.956066364174,443.582563380227
5,Colombia,,,388.038271758836,401.750115046621,398.678631633915,415.728760576794,413.322992570509
6,Czech Republic,,,512.860745917908,500.497065941677,508.299080849578,492.830048328694,496.791310632009
7,Denmark,,,495.894310154394,499.336974687075,498.474202800223,501.936886977413,492.637033384381
8,Estonia,,,531.391804310835,527.83175605918,541.404757538085,534.193742077203,530.108004575418
9,Finland,,,563.322834538274,554.079509782423,545.441941092923,530.661158860946,521.884563001286
10,France,,,495.219838991881,498.226893935058,498.970895241648,494.977600372005,492.977073947315
11,Germany,,,515.649129875639,520.405349535201,524.120800352849,509.14064717478,502.988903303614
12,Greece,,,473.377963976493,470.115764233977,466.722030142801,454.828816594835,451.632741569971
13,Hungary,,,503.931728969483,502.642748252152,494.302352112894,476.747512404287,480.91169390704
14,Iceland,,,490.793774451156,495.598498613644,478.154597391297,473.230086197332,475.024106315381
15,Ireland,,,508.328929943436,507.984153789135,522.003960268129,502.575115488822,496.11356166765
16,Israel,,,453.903708086112,454.85096320008,470.072662819587,466.55281218923,462.196632784254
17,Italy,,,475.397220549359,488.83136268583,493.541482893961,480.546762410819,468.011727289133
18,Japan,,,531.388509051812,539.430993408373,546.735600624006,538.394751054492,529.135433383588
19,Korea,,,522.148141334817,537.986230069057,537.787622925751,515.809911526951,519.007254858207
20,Latvia,,,489.543778170624,493.878923904221,502.186193644918,490.22501836099,487.25058821937
21,Lithuania,,,487.956698255006,491.409790829657,495.700087663183,475.408946495768,482.067012707652
22,Luxembourg,,,486.324362966306,483.9284208448,491.21517621529,482.806383601509,476.769405915438
23,Mexico,,,409.651951634376,415.908672241096,414.920147876455,415.709882908356,419.20471927474
24,Netherlands,,,524.861506294011,522.218128302406,522.055822811447,508.574806071928,503.383819429651
25,New Zealand,,,530.384360761125,532.006901225863,515.636319342748,513.303512225244,508.490721438946
26,Norway,,,486.527957477272,499.875699836175,494.523935493638,498.481109086114,490.413149379895
27,Poland,,,497.806502274107,508.068297201966,525.816446818785,501.43533182058,511.035561929964
28,Portugal,,,474.305889157761,492.949967315629,489.274732961554,501.100062233805,491.677328499612
29,Slovak Republic,,,488.433398569752,490.26592193522,471.193177820336,460.774855826437,464.047578171596
30,Slovenia,,,518.815609802139,511.759473097305,514.142556003126,512.863578600409,507.006545899793
31,Spain,,,488.424522693567,488.254630231258,496.445823971494,492.786136115007,483.252042660834
32,Sweden,,,503.334005926549,495.105897711928,484.798966599085,493.42235622744,499.444690090783
33,Switzerland,,,511.523909485706,516.567510121675,515.297524406741,505.505815533037,495.276287907039
34,Turkey,,,423.832745220533,453.909718095559,463.412909825288,425.489508864937,468.299618007131
35,United Kingdom,,,514.773547941067,513.710239932962,514.12932195947,509.221502941919,504.667473644287
36,United States,,,488.906837319065,502.002264543982,497.409812370845,496.242434164887,502.380031938141
37,Albania,,,,390.69574552442,397.373213588442,,416.726257673674
38,Albania (2015),,,,,,427.224982731528,
39,Algeria,,,,,,375.745102082318,
40,Argentina,,,391.243901925898,400.838520243204,405.632005164596,,404.071444901331
41,Argentina (2015),,,,,,432.226248045147,
42,Baku (Azerbaijan),,,,,,,397.649581116172
43,Belarus,,,,,,,471.263680896404
44,Bosnia and Herzegovina,,,,,,,398.497662759779
45,Brazil,,,390.331570710963,405.403988680879,401.619684958651,400.682103068384,403.620941886862
46,Brunei Darussalam,,,,,,,430.98437659902
47,B-S-J-G (China),,,,,,517.779281114996,
48,B-S-J-Z (China),,,,,,,590.452640531693
49,Bulgaria,,,434.079770787898,439.294148812207,446.468710132905,445.771957916846,424.073582933774
50,Chinese Taipei,,,532.473546626481,520.419792379168,523.314905764246,532.347454418556,515.748027840003
51,Costa Rica,,,,,429.350967794937,419.608033064258,415.622462040591
52,Croatia,,,493.204392135972,486.363448475428,491.356583913561,475.391176687498,472.362619539633
53,Cyprus,,,,,437.676459943894,432.576765603434,439.008249677118
54,Dominican Republic,,,,,,331.638827213739,335.629946565763
55,Georgia,,,,,,411.131523912363,382.663606265958
56,Hong Kong (China),,,542.211387715861,549.028706594867,554.937435651953,523.277447763458,516.686129558903
57,Indonesia,,,393.481018070464,382.569451697687,381.911484476433,403.09974538369,396.070053736032
58,Jordan,,,421.971824952518,415.387783408575,409.367214687925,408.669113259624,429.252073764784
59,Kazakhstan,,,,400.376138721168,424.707523321618,,397.104835180016
60,Kazakhstan (2015),,,,,,456.483575856715,
61,Kosovo,,,,,,378.442185110296,364.882407565544
62,Lebanon,,,,,,386.485372317364,383.71699368918
63,Macao (China),,,510.839722893818,511.069597719773,520.570876903927,528.549600196604,543.585733607688
64,Malaysia,,,,,419.502648551001,,437.618073728241
65,Malaysia (2015),,,,,,442.94752089009,
66,Malta,,,,,,464.781964680804,456.590322763569
67,Moldova,,,,,,427.997805693843,428.485266696765
68,Montenegro,,,411.788428367035,401.277470042536,410.097602389958,411.313648204872,415.172231371678
69,Morocco,,,,,,,376.596889189139
70,North Macedonia,,,,,,383.682387562563,413.044673659219
71,Panama,,,,,,,364.623772441666
72,Peru,,,,369.351771460774,373.113448089587,396.683648469985,404.215601005799
73,Philippines,,,,,,,356.933324187825
74,Qatar,,,349.313145150094,379.446948928397,383.642552433473,417.61112992733,419.127154934749
75,Romania,,,418.38637263597,428.178884938269,438.768057018932,434.88486177709,425.761227215861
76,Russia,,,479.470417318914,478.297529954917,486.295491055597,486.631040952501,477.717680043488
77,Saudi Arabia,,,,,,,386.246144905815
78,Serbia,,,,,,,439.873889636098
79,Singapore,,,,541.695517866282,551.493157568047,555.574679598885,550.936900098574
80,Thailand,,,421.011469357545,425.296284905111,443.999935131877,421.337325952353,425.813449524845
81,Trinidad and Tobago,,,,410.195617344221,,424.59045455802,
82,Tunisia,,,385.506713953447,400.661484077115,398.046450908057,386.403366649708,
83,Ukraine,,,,,,,468.987742525377
84,United Arab Emirates,,,,,448.370296939891,436.73114798194,433.636802839959
85,Uruguay,,,428.133885042077,427.214249777703,415.842936126206,435.362956251627,425.812676583986
86,Viet Nam,,,,,528.423261950012,524.644519498469,
